id	columns	rows	slices
A05	752	800	11
A06	752	800	11
A07	752	800	12
A09	800	752	12
A10	800	752	13
A11	800	752	13
A12	800	752	13
A13	800	752	16
A15	752	800	12
A16	752	800	13
A17	752	800	13
A18	800	752	14
A19	752	800	13
A20	800	752	13
A21	800	752	13
A22	752	800	14
A23	752	800	14
A24	800	752	13
A25	752	800	14
A26	752	800	14
A27	752	800	14
A28	800	752	13
A29	752	800	16
A30	752	800	14
A32	752	800	13
A33	752	800	12
A34	752	800	12
A35	752	800	13
A36	752	800	13
A37	752	800	12
A38	752	800	13
A39	752	800	13
A40	752	800	14
A41	752	800	13
A42	752	800	14
A43	752	800	12
A44	752	800	14
A45	752	800	15
A46	752	800	14
A47	752	800	14
